ts	phase	decision	why	evidence	result
2026-07-25T17:20:50Z	frame	Analyzed StS1 comprehensively via 4 parallel research delegates, then scoped to the map layer	needed the real mechanics before deciding what to emulate; the gap report showed structure is specced but zero of it is implemented	design/spire-ai/sts-fidelity.md	scoped
2026-07-25T17:20:50Z	frame	Will NOT build HP, block, potions, buffs, or damage math	HP has no honest analogue in project work, so a health bar would be decorative theater and the repo non-goals already forbid mandatory gamification	design/spire-ai/non-goals.md	out of scope on purpose
2026-07-25T17:20:50Z	frame	Chose the seeded map generator as the first unit	it is the foundational data structure everything else hangs off, it is pure stdlib, and it is the one load-bearing StS pillar that is fully implementable and fully checkable	scripts/mapgen.py	open
2026-07-25T17:29:58Z	harness	Wrote the invariant tests before the generator and committed them red	so the stack reads as an argument: the rules are real before any code claims to satisfy them	commit c1a0db9	red, ModuleNotFoundError
2026-07-25T17:29:58Z	mapgen	Implemented the generator; 28 of 31 tests passed first run	faithful port of the documented algorithm rather than an invented one	commit 6d505d4	3 failures, all one cause
2026-07-25T17:29:58Z	mapgen	Exempted forced floors from the parent and sibling rules instead of changing the generator	the invariant was over-broad, not the code. StS forces an all-treasure and an all-rest floor, so siblings there necessarily share a kind	tests/test_mapgen.py bag_assigned	32 tests green
2026-07-25T17:29:58Z	mapgen	Fixed inverted diagonal glyphs in the ASCII renderer	caught by reading the rendered map rather than trusting green tests	scripts/mapgen.py render	map reads correctly
2026-07-25T17:29:58Z	lever	Shipped mapgen.py verify as the rerunnable invariant check	a reviewer can rerun one command instead of redoing the analysis	python3 scripts/mapgen.py verify --seeds 400	ok, 2400 maps clean
2026-07-25T17:44:20Z	demo	Generated map data from Python instead of porting the generator to JS	one implementation of the rules; the demo renders what the engine produced	scripts/mapgen.py emit-js	12 maps emitted
2026-07-25T17:44:20Z	demo	Browser test caught that Enter node threw on every click	the generated data was missing the rolls array the client needs to resolve unknown nodes	commit 039114b	fixed, parity test added
2026-07-25T17:44:20Z	demo	Rebased this branch onto the demo branch rather than main	the map work is only visible on top of the demo, so stacking is the honest delivery order	PR base is cursor/spire-interactive-demo-96cf	stacked
2026-07-25T18:19:19Z	verify	Climbed 6 floors in the browser using Enter node every time	the predicate was routing a real branching map end to end, not just green tests	/opt/cursor/artifacts/spire_branching_map_climb.mp4	VERIFIED
2026-07-25T18:19:19Z	gate	Added a test that fails when mapdata.js drifts from the generator	the same mistake would otherwise ship silently, since the demo reads a committed generated file	tests/test_mapdata_current.py	proven by tampering, then restored
2026-07-25T18:19:19Z	verify	Full predicate check on the real artifacts	purity, every placement invariant, frozen unknowns, edge-legal traversal, lint and tests, and a routable demo	/opt/cursor/artifacts/mapgen_evidence.txt	156 passed, 2400 maps clean
2026-07-25T18:20:03Z	audit	Supersedes the red-tests row: its commit c1a0db9 was orphaned when I rebased onto the demo branch	the SHA no longer appears in the delivered history, so the pointer was misleading to a reviewer	commit eccbc37	evidence corrected
2026-07-25T18:20:03Z	audit	Supersedes the generator row: its commit 6d505d4 was orphaned by the same rebase	same cause; recording it rather than quietly repointing the original row	commit 1bd912c	evidence corrected
2026-07-25T18:20:03Z	audit	Supersedes the HP-refusal row's evidence pointer	non-goals.md supports the reason but the decision itself lives in the ledger	design/spire-ai/sts-fidelity.md Part 4	evidence corrected
2026-07-25T18:58:11Z	review	Cross-model review found three real bugs; reproduced all three before touching code	the reviewer could have been wrong, and two of them contradicted claims already in the PR body	measured 600/600 monster corridors, 54% rejoin violations, no boss in KINDS	all three confirmed
2026-07-25T18:58:11Z	fix	Assign bag items to random legal slots instead of dealing row by row	row-major dealing let the bottom floors drain every shop and unknown before the top was reached	scripts/mapgen.py _plan_rows	monster corridors 600/600 to 0/600
2026-07-25T18:58:11Z	fix	Retry a path walk that would add a rejoin, rather than only preferring not to	edge surgery afterwards plateaued at 54% clean; fixing it at the source reached 100%	scripts/mapgen.py _walk_paths	0 violations in 600 maps
2026-07-25T18:58:11Z	fix	Added the boss as a real node and inverted the invariant that forbade it	the checker was enforcing the opposite of the spec, which is why the dead act advance passed	scripts/mapgen.py _assign_kinds	acts now reachable
2026-07-25T18:58:11Z	fix	Export the ramp config from Python instead of restating it in JS	the parity test compared Python to Python, so it could not have caught client drift	window.SPIRE_RAMP in mapdata.js	duplication removed
